period;reporterISO;reporterDesc;flowDesc;partnerISO;partnerDesc;cmdCode;cmdDesc;aggrLevel;qtyUnitAbbr;qty;netWgt;primaryValue
2022;AUT;Austria;Export;FRA;France;440323;"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more";6;m³;98,995;81814,0;4235,362
2022;AUT;Austria;Import;FRA;France;440323;"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more";6;m³;837,175;691880,0;95844,274
2022;BEL;Belgium;Export;FRA;France;440323;"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more";6;m³;33720,16;71459830,86;6557154,76
2022;BEL;Belgium;Import;FRA;France;440323;"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more";6;m³;1170918,08;196444266,66;21902075,39
2022;CAN;Canada;Export;FRA;France;440323;"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more";6;m³;69,0;19682,29;2650,676
2022;CHN;China;Import;FRA;France;440323;"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more";6;m³;426540,609;352512900,0;81827244,0
2022;COM;Comoros;Import;FRA;France;440323;"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more";6;m³;8,782;7258,0;985,397
2022;DNK;Denmark;Export;FRA;France;440323;"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more";6;m³;2,0;464,0;90,948
2022;FRA;France;Export;AUT;Austria;440323;"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more";6;m³;1,0;5000,0;11155,311
2022;FRA;France;Export;BEL;Belgium;440323;"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more";6;m³;169959,0;114707190,0;12291479,479
2022;FRA;France;Export;CHN;China;440323;"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more";6;m³;59937,0;47511000,0;8654562,257
2022;FRA;France;Export;HKG;China, Hong Kong SAR;440323;"Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more";6;m³;12113,0;9073715,0;1301738,473
